Code	Variations	Loop	Positioned	Volume	Fade	Folder	Filename	Comment	Stan Questions	Added	Category	Channels	
													
// ENVIRONMENTAL													
env_pick_up_item				100		PlayerInteract	SFX_Env_Pickup_Item	Pick up item		Y	Environment	1	
env_pick_up_gold				35		PlayerInteract	SFX_Env_Pickup_Gold	Pickup coin		Y	Environment	1	
env_rock_shatter				100		PlayerInteract	SFX_Env_Rock_Shatter	Rock shatters		Y	Environment	1	
env_chest_open	3			71	  	PlayerInteract	SFX_Env_Chest_Open	Open Chest or treasure chest		Y	Environment	2	
env_chest_close	3			71		PlayerInteract	SFX_Env_Chest_Close	Close Chest		Y	Environment	2	
env_stone_button_press				50		PlayerInteract	SFX_Env_Stone_Button_Press	Dungeon buttons		Y	Environment	1	
env_stone_button_reset				50		PlayerInteract	SFX_Env_Stone_Button_Release	Dungeon buttons		Y	Environment	1	
env_stone_door_open				100		PlayerInteract	SFX_Env_Stone_Door_Open	Dungeon pillars		Y	Environment	1	
env_stone_door_close				50		PlayerInteract	SFX_Env_Stone_Door_Close	Infinidungeon stairs		Y	Environment	1	
													
env_chest_digup				71		PlayerInteract	SFX_Env_Chest_Digup			Y	Environment	2	
													
env_shrine_activation				35		PlayerInteract	SFX_Env_Shrine_Activation	Activate shrine		Y	Environment	2	
env_shrine_activation_ring				35		PlayerInteract	SFX_Env_Shrine_Activation_Ring			Y		2	
env_ando_tree_activation				71		PlayerInteract	SFX_Env_Ando_Tree_Activation				Environment	2	
env_ando_tree_activation_ring				71		PlayerInteract	SFX_Env_Ando_Tree_Activation_Ring				Environment	2	
env_warp_stone				100		PlayerInteract	SFX_Env_Warp_Stone	Use warp stone		Y	Environment	2	
env_warp_stone_exit				100		PlayerInteract	SFX_Env_Warp_Stone_Exit			Y	Environment	2	
env_enter_house				100		PlayerInteract	SFX_Env_Enter_House	Entering buildings		Y	Environment	1	
env_leave_house				71		PlayerInteract	SFX_Env_Leave_House	Exiting buildings		Y	Environment	1	
env_enter_dungeon				50		PlayerWalk	SFX_Player_Footstep_Dungeon	Entering/exiting dungeons		Y	Environment	1	
env_dungeon_teleport				100		Atmo	SFX_Env_Dungeon_Teleport	Teleporting buttons in dungeons		Y	Environment	2	
env_fireplace		1	1	45		Atmo	SFX_Env_Fireplace	Loop in tavern/lighthouse when fireplace is on.	Volume changes with the distance to fireplace	Y	Environment		
env_ticking		1	1	63			SFX_Env_Ticking	Used for timed events in temples		N	Environment	1	
env_spirit_eating				100		UI	SFX_Env_Spirit_Eating	For when feeding Spirit in battle	played when feeding crop/fish/concoction/potion to a spirit in the medallion or barn, but not a talisman.	Y	Environment	1	
				100									
env_electric_buildup				13		Atmo	SFX_Env_Electric_Buildup	When electric meter goes up while walking on electric biome		Y	Environment		
env_electric_hit				100		Atmo	SFX_Env_Electric_Hit	When struck by lightning on electric biome		Y	Environment		
													
env_magic_hut_appear				100		Atmo	SFX_Env_Magic_Hut_Appear	Plays when hut appears to indicate the apperance		Y	Environment	2	
env_magic_hut_footsteps		1		100		Atmo	SFX_Env_Magic_Hut_Footsteps	Plays and loops as soon as hut appears		Y	Environment	2	
env_magic_hut_drop				100		Atmo	SFX_Env_Magic_Hut_Drop	Plays when hut drop animation starts		Y	Environment	2	
env_magic_hut_disappear				100		Atmo	SFX_Env_Magic_Hut_Disappearing	When magic man's hut disappears		Y	Environment	2	
env_magic_mirror_place				71		Atmo	SFX_Env_Magic_Mirror_Place	When placing a shard - starts as soon as the mirror shard starts appearing!		Y	Environment	2	
