name	Mumbleweed	Oaken	Ankylo	Gemlin	Hopstraw	Coolslime	Pappus	Brickhouse	Dusty	Punchypot	Fluffox	Longlog	Womr	Chiminea	Wildwood	Fishbo	Flote	Starsee	Torble	Snorcko	Sandcrashle	Beabeau	Claudio	Octopup	Dropple	Eleplant	Tidan	Ribbite	Trunkle	Minishroom	Taddle	Birdbrain	Marsha	Radlad	Snaplant	Toxitoe	Shrubbin	Snapdragon	Burgloon	Cumulo	Capacibee	Armbot	Bulbot	Sparky	Barkbyte	Kiwiwatt	Breadmaus	Snohm	Bittybolt	Sparking	Flambit	Prikli	Sheemp	Lucerna	Sinjin	Firetyre	Flamane	Bonefire	Spyreling	Pombomb	Hoppot	Posho	Taro	Lookachoo	Minoot	Rablit	Mystislime	Magicat	Beardini	Loonylid	Jelbell	Shadeling	Arkeya	Karyote	Darkoffee	Puppox	Evileye	Wolfbane	Catsket	Darclock	Fangface	Bungo	Missingno	Bandicle	Sorbaton	Bonguin	Hygge	Whistler	Yeeti	Honkshoo	Eyesee	Grampus	Glovem	Guardian	InfinidungeonMiniboss	InfinidungeonBoss
element	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Earth	Water	Water	Water	Water	Water	Water	Water	Water	Water	Water	Water	Water	Poison	Poison	Poison	Poison	Poison	Poison	Poison	Poison	Poison	Poison	Poison	Electric	Electric	Electric	Electric	Electric	Electric	Electric	Electric	Electric	Electric	Electric	Electric	Fire	Fire	Fire	Fire	Fire	Fire	Fire	Fire	Fire	Fire	Fire	Psychic	Psychic	Psychic	Psychic	Psychic	Psychic	Psychic	Psychic	Psychic	Psychic	Psychic	Dark	Dark	Dark	Dark	Dark	Dark	Dark	Dark	Dark	Dark	Dark	Ice	Ice	Ice	Ice	Ice	Ice	Ice	Ice	Ice	Ice	Undefined	Undefined	Undefined
rarity	2	4	3	1	2	4	3	4	1	1	1	2	3	2	99	4	3	2	1	4	1	3	3	4	4	2	99	2	1	1	3	3	2	4	4	2	1	99	3	2	1	3	1	2	4	2	4	1	4	99	1	2	3	1	3	4	4	2	2	3	2	1	3	4	2	3	4	2	4	2	4	4	4	1	2	3	1	4	2	3	4	3	99	4	2	1	3	1	4	3	2	4	3	99	99	99
speed	3	1	1	0	1	1	3	1	4	3	2	2	3	1	0	3	1	2	1	2	4	6	3	4	2	2	0	4	2	3	4	2	1	4	3	3	1	0	3	2	2	3	4	4	2	4	3	1	5	0	2	2	3	2	1	4	3	4	3	2	2	2	1	2	2	4	2	4	2	1	3	3	1	1	3	3	2	2	2	4	4	1	0	3	2	1	2	6	2	1	2	3	4	4	3	4
vitality	1	1	2	1	5	1	1	2	1	1	2	4	2	3	0	2	2	2	2	2	3	3	2	2	3	4	0	1	1	1	1	3	3	2	2	4	2	0	1	2	1	1	2	2	4	3	1	2	2	0	1	1	1	1	1	2	3	1	2	2	4	1	1	1	1	2	2	2	2	1	3	3	1	1	1	1	1	3	2	1	3	3	1	4	1	1	3	1	2	3	4	2	3	2	2	2
armor	2	3	2	4	1	1	3	3	2	1	2	3	2	2	0	3	3	3	5	3	2	1	2	4	3	3	0	2	1	2	2	2	2	2	2	1	3	0	2	1	1	4	2	2	1	1	4	3	1	0	2	3	2	4	3	2	2	2	3	2	3	1	1	1	2	3	1	1	3	1	1	3	1	1	1	1	2	2	2	2	1	4	0	3	3	2	1	2	2	3	3	2	1	2	5	7
power	4	5	5	5	4	6	1	3	1	5	2	2	4	3	0	3	3	5	3	5	2	1	4	1	3	2	0	3	5	3	3	3	4	2	2	2	3	0	4	5	5	2	2	2	3	2	2	4	2	0	4	5	5	4	6	2	3	3	3	4	2	4	5	6	4	1	4	2	3	6	4	3	8	7	6	5	4	4	3	2	3	2	0	1	4	6	3	2	5	3	2	3	2	2	2	4
locked	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hpBase	15	15	15	15	10	10	10	20	20	10	20	15	10	20	85	15	10	10	15	15	15	10	10	20	15	15	100	15	10	10	15	20	20	10	10	10	10	125	15	20	15	20	15	15	15	15	15	15	20	75	15	10	10	15	15	10	15	15	10	15	20	10	15	10	10	15	15	10	15	15	10	10	20	15	15	20	15	15	20	20	10	20	503	15	15	15	15	10	20	20	10	15	20	10	50	75
Ability	Mumble Tumble	Bark Bash	Bad Temper	Reliable Talent	Scary Straw	Free Food	Breeze Bender	Mad House	Lil Guy Energy	Plentiful Punches	Friendly Fluff	Log Jog	Lawn Mowr	Get Rocked	Darkwood Decoys	Fish Food	Sailors Delight	Friendly Face	Tough Tortoise	Snorkle Scout	Hidden Treasure	Cool Shades	Rain Run	Regenereight	Salt vs Steel	Shrub Spout	Flood Hand	Bouncing Bane	Fungal Fumes	Shroom Shrink	Swamp Skin	Bird Bane	Benevolent Bane	Rad Dish	Potent Poison	Sock Song	Topiary Target	Poison Aura	Spirit Spoils	Breaker	Recharge	Long Arms	Totally Lit	Electric Overload	Dig Dog	Frizzy Friend	Burnt Toast	Take Thisss	Energy Efficient	Energy Surge	Hot in Here	Needler	Hot to Touch	Rekindle	Burn Bright	Fire Foot	Lucky Light	Combustion Engine	Slay With Fire	Exploding Puppies	First Sip	Become Ethereal	Tranquil Trot	Sneezy Breezy	Shuffle Time	Lamp Light	Slime Skill	Magic Wand	Disappearing Act	Kindred Spirits	Sea Sight	Ancient Aura	Eldritch Toll	Dark Blessing	Caffeine Kick	Eerie Jig	Unwelcome Presence	Death Grip	Raise Dead	Time Heals All	Demon Dice	Bungovision	Dark Ritual	Ice Gold	Shaved Ice	Frost Layer	Gift Giver	Fresh Pow	Snowball	Catchin Zs	Double Scoop	Mighty Moustache	Chill Vibes	Artificial Armor	InfinidungeonAbility1	InfinidungeonAbility2
MineOnly				1						1				1					1										1														1											1							1																																			
