	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	RU
																										
Bash	Skill	speed	0.5	None	opponent	1	1	Bash{desc}Reduce target's Armor by {dmg}.	Armor		0	1	1	0	0	0	hit			Impact{desc}Réduit l'armure de la cible de {dmg}.	Hieb{desc}Senke die Rüstung des Ziels um {dmg}.	Aporrear{desc}Reduce {dmg} punto(s) la Armadura del objetivo.	Golpear{desc}Reduz a Armadura do alvo em {dmg}.	猛击{desc}使目标的防御降低{dmg}。	なぐる{desc}ターゲットのアーマーを{dmg}減らす。	Таран{desc}Снимает {dmg} брони
Bite	Attack	speed	0.5	None	opponent	1	1	Bite{desc}Deal {dmg} damage two times.	Normal*2		1	1	1	0	0	0	bite			Morsure{desc}Inflige {dmg} point(s) de dégâts à 2 reprises.	Biss{desc}Verursache zweimal {dmg} Schaden.	Mordisco{desc}Inflige {dmg} punto(s) de daño dos veces.	Mordida{desc}Causa {dmg} de dano duas vezes.	咬击{desc}造成 2 次{dmg}点伤害。	かみつく{desc}{dmg}ダメージを2回与える。	Укус{desc}Наносит {dmg} урона два раза.
Bite+	Attack	speed	0.5	None	opponent	1	2	Bite+{desc}Deal {dmg} damage three times.	Normal*3		0	1	1	0	0	0	bite			Morsure+{desc}Inflige {dmg} point(s) de dégâts à 3 reprises.	Biss+{desc}Verursache dreimal {dmg} Schaden.	Mordisco +{desc}Inflige {dmg} punto(s) de daño tres veces.	Mordida+{desc}Causa {dmg} de dano três vezes.	咬击+{desc}造成 3 次 {dmg} 点伤害。	かみつく+{desc}{dmg}ダメージを3回与える。	Укус+{desc}Наносит {dmg} урона три раза.
Tackle	Attack	power	1	None	opponent	1	1	Tackle{desc}Deal {dmg} damage.	Normal		1	1	1	0	0	0	normal			Plaquage{desc}Inflige {dmg} point(s) de dégâts.	Stoß{desc}Verursache {dmg} Schaden.	Placaje{desc}Inflige {dmg} punto(s) de daño.	Investida{desc}Causa {dmg} de dano.	阻截{desc}造成{dmg}点伤害。	たいあたり{desc}{dmg}ダメージを与える。	Удар{desc}Наносит {dmg} урона.
Tackle+	Attack	power	1.5	None	opponent	1	2	Tackle+{desc}Deal {dmg} damage.	Normal		0	1	1	0	0	0	normal			Plaquage+{desc}Inflige {dmg} point(s) de dégâts.	Stoß+{desc}Verursache {dmg} Schaden.	Placaje +{desc}Inflige {dmg} punto(s) de daño.	Investida+{desc}Causa {dmg} de dano.	阻截+{desc}造成 {dmg} 点伤害。	たいあたり+{desc}{dmg}ダメージを与える。	Удар+{desc}Наносит {dmg} урона.
Shock_tutorial	Attack	power	0.5	Electric	opponent	1	99	Shock{desc}Deal {dmg} Electric damage three times.	Electric*3		1	1	0.6	0	0	0	lightningBolt			Décharge{desc}Inflige {dmg} point(s) de dégâts électriques à 3 reprises.	Schock{desc}Verursache dreimal {dmg} Elektroschaden.	Choque{desc}Inflige {dmg} punto(s) de daño eléctrico tres veces.	Choque{desc}Causa {dmg} de dano Elétrico três vezes.	电击{desc}造成 3 次{dmg}点带电伤害。	衝撃{desc}{dmg}電気ダメージを4回与える。	Шок{desc}Наносит {dmg} электрического урона три раза.
Curse	Skill			None	self	1	99	Curse{desc}Has no effect when played. 			0	0	1	1	0	0	none			Malédiction{desc}N'a aucun effet quand elle est jouée.	Fluch{desc}Hat keinen Effekt, wenn gespielt.	Maldición{desc}No tiene ningún efecto.	Maldição{desc}Não tem efeito quando usada.	诅咒{desc}使用时无效果。	呪い{desc}使用時に効果がなくなる。	Проклятие{desc}Не имеет эффекта при использовании.
																										
Patience	Skill			None	player	0	1	Patience{desc}Put one card from your hand on top of your draw pile.			0	0	0.5	0	0	0	shine			Patience{desc}Place une carte de ta main sur le dessus de ta pioche.	Geduld{desc}Lege 1 Karte aus deiner Hand auf deinen Nachziehstapel.	Paciencia{desc}Mueve una carta de tu mano a la parte superior del mazo.	Paciência{desc}Coloca uma carta da sua mão no topo da sua pilha de compras.	耐心{desc}将手牌中的 1 张牌放在抽牌堆顶。	がまん{desc}手札のカードを1枚、山札の一番上に置く。	Терпение{desc}Поместите одну карту из вашей руки на вершину вашей колоды.
