Crops	Type	Rarity	Stages	Resilience	Yield	Water	Reharvestable	Stamina	HP	Armor	Vitality	Power	Speed	XP	Tame	Season	Biome
																	
// SPRING CROPS																	
flax	crop	1	1-1-2-2	2	1	0	0	20							10	spring	Earth,Water
stoneFruit	crop	2	1-2-1-2	2	1	0	0	50								spring	Earth,Water
lilyPad	crop	2	1-2-2-2	2	1	1	0	20	15							spring	
catTail	crop	1	1-1-1-3	2	1	1	1	20					3			spring	
nightShade	crop	2	1-2-3-2	2	1	0	0	-10			-3					spring	Poison
mandrake	crop	3	1-3-3-3	2	1	0	0	-10				-3				spring	Poison
nimbusPlant	crop	2	1-3-3-2	2	1	0	0	20				3				spring	Electric
bolt	crop	1	1-2-3-2	2	1	0	1	20					5			spring	Electric
fireFlower	crop	1	1-1-2-2	2	1	0	0	20							30	spring	Fire
hotPepper	crop	3	1-2-3-4	2	1	0	1	20			3					spring	Fire
spiritBane	crop	4	1-3-3-4	2	1	0	0	20				5	-5			spring	Dark
bloodRoot	crop	1	1-2-2-2	2	1	0	0	20			5		-5			spring	Dark
magicMushroom	crop	1	1-2-2-2	2	1	0	0	100								spring	Psychic
yarrow	crop	3	1-2-4-3	2	1	0	0	20	30							spring	Psychic
																	
// SUMMER CROPS	Type	Rarity	Stages	Resilience	Yield	Water	Reharvestable	Stamina	HP	Armor	Vitality	Power	Speed	XP	Tame	Season	Biome
mossball	crop	1	1-1-1-1	2	1	0	0	20	10			1	1			summer	Earth,Water
popsiplant	crop	2	1-1-2-1	2	1	0	0	20			1		2			summer	Earth,Water
beachpeach	crop	2	1-1-1-1	2	1	1	0	40								summer	
pinwheelflower	crop	1	1-1-1-1	2	1	1	0	20				2			20	summer	
umbrellashroom	crop	1	1-2-1-1	2	1	0	0	20			-1	-2				summer	Poison
erdenleaf	crop	2	1-1-2-2	2	1	0	0	20		-2						summer	Poison
stunflower	crop	3	1-2-1-2	2	1	0	0	20					2		30	summer	Electric
zaplant	crop	2	1-1-2-1	2	1	0	0	20		1		3				summer	Electric
