Smithy	Price	Materials	Quantity	
				
axe2	2000	ingotCopper:3,axe1	1	
hammer2	2000	ingotCopper:3,hammer1	1	
scythe2	2000	ingotCopper:3,scythe1	1	
hoe2	2000	ingotCopper:3,hoe1	1	
wateringCan2	2000	ingotCopper:3,wateringCan1	1	
				
axe3	5000	ingotIron:3,axe2	1	
hammer3	5000	ingotIron:3,hammer2	1	
scythe3	5000	ingotIron:3,scythe2	1	
hoe3	5000	ingotIron:3,hoe2	1	
wateringCan3	5000	ingotIron:3,wateringCan2	1	
				
axe4	10000	ingotMoonstone:3,axe3	1	
hammer4	10000	ingotMoonstone:3,hammer3	1	
scythe4	10000	ingotMoonstone:3,scythe3	1	
hoe4	10000	ingotMoonstone:3,hoe3	1	
wateringCan4	10000	ingotMoonstone:3,wateringCan3	1	
				
coal	40		99999	
oreCopper	200		0	
oreIron	400		0	
ingotCopper	1000		0	
ingotIron	2000		0	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				

Conservatory	Price	Materials	Quantity	Randomize
				
plantTiny	300		0	1
plantFisherman	1600		1	1
plantHistorian	1000		1	1
plantHanging	1800		1	1
plantIvy	1200		0	1
plantPurpleHeart	2100		0	1
plantDaisy	400		0	1
plantZanzibarGem	1500		0	1
plantViolet	1300		0	1
plantColeus	1700		0	1
plantRubber	1000		0	1
plantMonstera	2300		0	1
plantVinca	1200		0	1
plantJade	800		0	1
plantLily	1900		0	1
plantHydrangea	600		0	1
plantHydrangeaPlanter	2500		0	1
plantFlytrap	3000		0	1
				
poinsettia	1000		0	1
				
				
replantableTree	200		99999	
replantableRock	100		99999	
replantableGrass	25		99999	
				
greenhouseUpgrade1	5000	wood:150,stone:150	1	
greenhouseUpgrade2	7000	greenhouseUpgrade1,wood:200,stone:200	1	
greenhouseUpgrade3	10000	greenhouseUpgrade2,wood:250,stone:250	1	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				

